date,count
2026-01-01,1
2026-01-03,1
2026-01-05,2
2026-01-12,2
2026-01-14,1
2026-01-17,2
2026-01-18,1
2026-01-23,1
2026-01-29,2
2026-01-30,2
2026-02-02,3
2026-02-05,3
2026-02-06,5
2026-02-07,1
2026-02-09,1
2026-02-10,4
2026-02-11,1
2026-02-12,1
2026-02-13,1
2026-02-14,1
2026-02-19,1
2026-02-20,1
2026-02-23,2
2026-02-24,2
2026-02-27,1
2026-03-03,2
2026-03-09,5
2026-03-10,1
2026-03-13,1
2026-03-17,1
2026-03-19,1
2026-03-22,2
2026-03-23,1
2026-03-24,1
2026-03-25,1
2026-03-30,1
2026-03-31,1
2026-04-01,1
2026-04-06,3
2026-04-08,3
2026-04-09,1
2026-04-11,1
2026-04-13,3
2026-04-14,1
2026-04-15,1
2026-04-16,1
2026-04-21,2
2026-04-22,1
2026-04-25,1
2026-05-09,1
2026-05-13,1
2026-05-21,1
2026-05-23,1
2026-05-25,1
2026-06-16,1
2026-06-22,1
2026-06-29,1
2026-07-01,1
2026-07-02,2
2026-07-03,1
2026-07-05,1
2026-07-07,1
2026-07-12,1
2026-07-16,2
2026-07-17,1
2026-07-18,1
